brand,model,year,vehicle_age,mileage_km,fuel_type,seller_type,transmission,owner_type,price,price_currency
Ambassador,Ambassador CLASSIC 1500 DSL AC,2005,21,50000,Diesel,Individual,Manual,Second Owner,120000,INR
Ambassador,Ambassador Grand 1800 ISZ MPFI PW CL,2012,14,50000,Petrol,Individual,Manual,Second Owner,430000,INR
Audi,Audi A4 1.8 TFSI,2012,14,60000,Petrol,Individual,Automatic,Third Owner,1200000,INR
Audi,Audi A4 2.0 TDI,2011,15,58000,Diesel,Dealer,Automatic,First Owner,1295000,INR
Audi,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,13,53000,Diesel,Dealer,Automatic,First Owner,1150000,INR
Audi,Audi A4 3.0 TDI Quattro,2013,13,86000,Diesel,Dealer,Automatic,First Owner,1580000,INR
Audi,Audi A4 35 TDI Premium,2015,11,35000,Diesel,Individual,Automatic,Third Owner,2300000,INR
Audi,Audi A4 New  2.0 TDI Multitronic,2014,12,42215,Diesel,Dealer,Automatic,First Owner,1549000,INR
Audi,Audi A6 2.0 TDI  Design Edition,2013,13,50000,Diesel,Dealer,Automatic,First Owner,1735000,INR
Audi,Audi A6 2.0 TDI  Design Edition,2014,12,102354,Diesel,Dealer,Automatic,First Owner,1750000,INR
Audi,Audi A6 2.0 TDI Premium Plus,2013,13,58500,Diesel,Dealer,Automatic,First Owner,1300000,INR
Audi,Audi A6 2.0 TDI Premium Plus,2014,12,34000,Diesel,Dealer,Automatic,Second Owner,1470000,INR
Audi,Audi A6 2.7 TDI,2010,16,46000,Diesel,Individual,Automatic,First Owner,850000,INR
Audi,Audi A6 2.8 FSI,2008,18,70000,Petrol,Individual,Automatic,Third Owner,650000,INR
Audi,Audi A8 L 3.0 TDI quattro,2009,17,47000,Diesel,Dealer,Automatic,Second Owner,1250000,INR
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,2012,14,118000,Diesel,Individual,Automatic,Second Owner,1400000,INR
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,2014,12,110000,Diesel,Individual,Automatic,Second Owner,1150000,INR
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,2015,11,127643,Diesel,Dealer,Automatic,First Owner,1750000,INR
Audi,Audi Q3 35 TDI Quattro Technology,2017,9,36000,Diesel,Dealer,Automatic,First Owner,2575000,INR
